State,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Andhra Pradesh,Achanta,56,SATYANARAYANA PITHANI,Telugu Desam,CHERUKUVADA SRI RANGANADHA RAJU,Yuvajana Sramika Rythu Congress Party,26554,Result Declared
Andhra Pradesh,Addanki,105,GOTTIPATI RAVI KUMAR,Telugu Desam,CHINNA HANIMIREDDY PANEM,Yuvajana Sramika Rythu Congress Party,24890,Result Declared
Andhra Pradesh,Adoni,146,DR. PARTHA SARATHI VALMIKI,Bharatiya Janata Party,Y. SAI PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,18164,Result Declared
Andhra Pradesh,Allagadda,134,AKHILA PRIYA BHUMA,Telugu Desam,BRIJENDRA REDDY GANGULA (NANI),Yuvajana Sramika Rythu Congress Party,12037,Result Declared
Andhra Pradesh,Alur,147,B. VIRUPAKSHI,Yuvajana Sramika Rythu Congress Party,B. VEERABHADRA GOWD,Telugu Desam,2831,Result Declared
Andhra Pradesh,Amadalavalasa,6,KOONA RAVI KUMAR,Telugu Desam,THAMMINENI SEETARAM,Yuvajana Sramika Rythu Congress Party,35032,Result Declared
Andhra Pradesh,Amalapuram,44,AITHABATHULA ANANDARAO,Telugu Desam,VISWARUPU PINIPE,Yuvajana Sramika Rythu Congress Party,38628,Result Declared
Andhra Pradesh,Anakapalle,30,KONATHALA RAMAKRISHNA,Janasena Party,BHARATH KUMAR MALASALA,Yuvajana Sramika Rythu Congress Party,65764,Result Declared
Andhra Pradesh,Anantapur Urban,153,DAGGUPATI PRASAD,Telugu Desam,ANANTHA VENKATARAMI REDDY,Yuvajana Sramika Rythu Congress Party,23023,Result Declared
Andhra Pradesh,Anaparthy,40,RAMAKRISHNA REDDY NALLAMILLI,Bharatiya Janata Party,DOCTOR.SATHI SURYANARAYANA REDDY,Yuvajana Sramika Rythu Congress Party,20850,Result Declared
Andhra Pradesh,Araku Valley,28,REGAM MATYALINGAM,Yuvajana Sramika Rythu Congress Party,RAJARAO PANGI,Bharatiya Janata Party,31877,Result Declared
Andhra Pradesh,Atmakur,115,ANAM.RAMANARAYANA REDDY,Telugu Desam,MEKAPATI VIKRAM REDDY,Yuvajana Sramika Rythu Congress Party,7576,Result Declared
Andhra Pradesh,Avanigadda,76,BUDDHAPRASAD MANDALI,Janasena Party,RAMESH BABU SIMHADRI,Yuvajana Sramika Rythu Congress Party,46434,Result Declared
Andhra Pradesh,Badvel,124,DASARI SUDHA,Yuvajana Sramika Rythu Congress Party,BOJJA ROSHANNA,Bharatiya Janata Party,18567,Result Declared
Andhra Pradesh,Banaganapalle,140,B.C. JANARDHAN REDDY,Telugu Desam,KATASANI RAMI REDDY,Yuvajana Sramika Rythu Congress Party,25566,Result Declared
Andhra Pradesh,Bapatla,92,VEGESANA NARENDRA VARMA RAJU,Telugu Desam,KONA RAGHUPATHI,Yuvajana Sramika Rythu Congress Party,27768,Result Declared
Andhra Pradesh,Bhimavaram,59,RAMANJANEYULU PULAPARTHI (ANJIBABU),Janasena Party,GRANDHI SRINIVAS,Yuvajana Sramika Rythu Congress Party,66974,Result Declared
Andhra Pradesh,Bhimili,20,GANTA SRINIVASA RAO,Telugu Desam,MUTTAMSETTI SRINIVASA RAO (AVANTHI SRINIVAS),Yuvajana Sramika Rythu Congress Party,92401,Result Declared
Andhra Pradesh,Bobbili,14,R.V.S.K.K.RANGA RAO @ BABYNAYANA,Telugu Desam,VENKATA CHINA APPALA NAIDU SAMBANGI,Yuvajana Sramika Rythu Congress Party,44648,Result Declared
Andhra Pradesh,Chandragiri,166,VENKATA MANI PRASAD PULLIVARTHI,Telugu Desam,CHEVIREDDY MOHITH REDDY,Yuvajana Sramika Rythu Congress Party,43852,Result Declared
Andhra Pradesh,Cheepurupalle,15,KALAVENKATARAO KIMIDI,Telugu Desam,BOTCHA SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,11971,Result Declared
Andhra Pradesh,Chilakaluripet,96,PRATHIPATI PULLARAO,Telugu Desam,KAVATI SIVA NAGA MANOHAR NAIDU,Yuvajana Sramika Rythu Congress Party,33262,Result Declared
Andhra Pradesh,Chintalapudi,68,ROSHAN KUMAR SONGA,Telugu Desam,KAMBHAM VIJAYA RAJU,Yuvajana Sramika Rythu Congress Party,27766,Result Declared
Andhra Pradesh,Chirala,106,MADDULURI MALA KONDAIAH,Telugu Desam,KARANAM VENKATESH,Yuvajana Sramika Rythu Congress Party,20984,Result Declared
Andhra Pradesh,Chittoor,172,GURAJALA JAGAN MOHAN (GJM),Telugu Desam,M.C. VIJAYANANDA REDDY,Yuvajana Sramika Rythu Congress Party,14604,Result Declared
Andhra Pradesh,Chodavaram,26,SURYA NAGA SANYASI RAJU KALIDINDI,Telugu Desam,KARANAM DHARMASRI,Yuvajana Sramika Rythu Congress Party,42189,Result Declared
Andhra Pradesh,Darsi,103,BUCHEPALLI SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,GOTTIPATI LAKSHMI,Telugu Desam,2456,Result Declared
Andhra Pradesh,Denduluru,64,CHINTAMANENI PRABHAKAR,Telugu Desam,ABBAYA CHOWDARY KOTHARU,Yuvajana Sramika Rythu Congress Party,26266,Result Declared
Andhra Pradesh,Dharmavaram,160,SATYA KUMAR YADAV,Bharatiya Janata Party,KETHIREDDY VENKATA RAMI REDDY,Yuvajana Sramika Rythu Congress Party,3734,Result Declared
Andhra Pradesh,Dhone,141,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,BUGGANA RAJA REDDY,Yuvajana Sramika Rythu Congress Party,6049,Result Declared
Andhra Pradesh,Eluru,65,RADHA KRISHNAYYA BADETI,Telugu Desam,ALLA KALI KRISHNA SRINIVAS,Yuvajana Sramika Rythu Congress Party,62388,Result Declared
Andhra Pradesh,Etcherla,7,ESWARA RAO NADUKUDITI,Bharatiya Janata Party,KIRAN KUMAR GORLE,Yuvajana Sramika Rythu Congress Party,29089,Result Declared
Andhra Pradesh,Gajapathinagaram,16,KONDAPALLI SRINIVAS,Telugu Desam,APPALANARASAYYA BOTCHA,Yuvajana Sramika Rythu Congress Party,25301,Result Declared
Andhra Pradesh,Gajuwaka,25,PALLA SRINIVAS RAO,Telugu Desam,AVSS AMARNATH GUDIVADA,Yuvajana Sramika Rythu Congress Party,95235,Result Declared
Andhra Pradesh,Gangadhara Nellore (SC),171,DR. VM. THOMAS,Telugu Desam,K. KRUPALAKSHMI,Yuvajana Sramika Rythu Congress Party,26011,Result Declared
Andhra Pradesh,Gannavaram,71,YARLAGADDA VENKATA RAO,Telugu Desam,VAMSI VALLABHANENI,Yuvajana Sramika Rythu Congress Party,37628,Result Declared
Andhra Pradesh,Gannavaram(SC),46,GIDDI. SATYANARAYANA,Janasena Party,VIPPARTHI . VENUGOPALARAO,Yuvajana Sramika Rythu Congress Party,33367,Result Declared
Andhra Pradesh,Giddalur,112,ASHOK REDDY MUTHUMULA,Telugu Desam,KUNDURU NAGARJUNA REDDY (KP),Yuvajana Sramika Rythu Congress Party,973,Result Declared
Andhra Pradesh,Gopalapuram,66,MADDIPATI VENKATA RAJU,Telugu Desam,TANETI VANITA,Yuvajana Sramika Rythu Congress Party,26784,Result Declared
Andhra Pradesh,Gudivada,72,VENIGANDLA RAMU,Telugu Desam,KODALI SRI VENKATESWARA RAO (NANI),Yuvajana Sramika Rythu Congress Party,53040,Result Declared
Andhra Pradesh,Gudur,120,PASIM SUNIL KUMAR,Telugu Desam,MERIGA MURALIDHAR,Yuvajana Sramika Rythu Congress Party,21192,Result Declared
Andhra Pradesh,Guntakal,150,GUMMANUR JAYARAM,Telugu Desam,Y. VENKATA RAMA REDDY,Yuvajana Sramika Rythu Congress Party,6826,Result Declared
Andhra Pradesh,Guntur East,95,MOHAMMED NASEER AHMED,Telugu Desam,NOORI FATHIMA SHAIK,Yuvajana Sramika Rythu Congress Party,31962,Result Declared
Andhra Pradesh,Guntur West,94,GALLA MADHAVI,Telugu Desam,RAJINI VIDADALA,Yuvajana Sramika Rythu Congress Party,51150,Result Declared
Andhra Pradesh,Gurajala,100,YARAPATHINENI SRINIVASA RAO,Telugu Desam,KASU MAHESH REDDY,Yuvajana Sramika Rythu Congress Party,29486,Result Declared
Andhra Pradesh,Hindupur,157,NANDAMURI BALAKRISHNA,Telugu Desam,DEEPIKA T N,Yuvajana Sramika Rythu Congress Party,32597,Result Declared
Andhra Pradesh,Ichchapuram,1,ASHOK BENDALAM,Telugu Desam,PIRIYA VIJAYA,Yuvajana Sramika Rythu Congress Party,39783,Result Declared
Andhra Pradesh,Jaggampeta,52,JYOTHULA NEHRU,Telugu Desam,THOTA NARASIMHAM,Yuvajana Sramika Rythu Congress Party,52676,Result Declared
Andhra Pradesh,Jaggayyapeta,84,RAJAGOPAL SREERAM (TATAIAH),Telugu Desam,UDAYA BHANU SAMINENI,Yuvajana Sramika Rythu Congress Party,15977,Result Declared
Andhra Pradesh,Jammalamadugu,131,ADINARAYANA REDDY CHADIPIRALA,Bharatiya Janata Party,MULE SUDHEER REDDY,Yuvajana Sramika Rythu Congress Party,17191,Result Declared
Andhra Pradesh,Kadapa,126,MADHAVI REDDAPPA GARI,Telugu Desam,AMZATH BASHA SHAIK BEPARI,Yuvajana Sramika Rythu Congress Party,18860,Result Declared
Andhra Pradesh,Kadiri,161,KANDIKUNTA VENKATA PRASAD,Telugu Desam,MAQBOOL B.S.,Yuvajana Sramika Rythu Congress Party,6265,Result Declared
Andhra Pradesh,Kaikalur,73,KAMINENI SRINIVAS,Bharatiya Janata Party,DULAM NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party,45273,Result Declared
Andhra Pradesh,Kakinada City,41,VANAMADI VENKATESWARA RAO @ KONDABABU,Telugu Desam,DWARAMPUDI CHANDRASEKHARA REDDY,Yuvajana Sramika Rythu Congress Party,56572,Result Declared
Andhra Pradesh,Kakinada Rural,38,PANTAM VENKATESWARA RAO (PANTAM NANAJI),Janasena Party,KURASALA KANNA BABU,Yuvajana Sramika Rythu Congress Party,72040,Result Declared
Andhra Pradesh,Kalyandurg,154,AMILINENI SURENDRA BABU,Telugu Desam,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,37734,Result Declared
Andhra Pradesh,Kamalapuram,130,KRISHNA CHAITANYA REDDY PUTHA,Telugu Desam,POCHIMAREDDY RAVINDRANATH REDDY,Yuvajana Sramika Rythu Congress Party,25357,Result Declared
Andhra Pradesh,Kandukur,109,INTURI NAGESWARA RAO,Telugu Desam,MADHU SUDHANRAO BURRA,Yuvajana Sramika Rythu Congress Party,18558,Result Declared
Andhra Pradesh,Kanigiri,113,DR. UGRA NARASIMHA REDDY MUKKU,Telugu Desam,DADDALA NARAYANA,Yuvajana Sramika Rythu Congress Party,14604,Result Declared
Andhra Pradesh,Kavali,114,DAGUMATI VENKATA KRISHNA REDDY,Telugu Desam,RAMIREDDY PRATAP KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,30948,Result Declared
Andhra Pradesh,Kodumur (SC),143,BOGGULA DASTAGIRI,Telugu Desam,AUDIMULAPU SATHISH,Yuvajana Sramika Rythu Congress Party,21583,Result Declared
Andhra Pradesh,Kodur (SC),127,ARAVA SREEDHAR,Janasena Party,KORAMUTLA SREENIVASULU,Yuvajana Sramika Rythu Congress Party,11101,Result Declared
Andhra Pradesh,Kondapi (SC),110,DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,Telugu Desam,AUDIMULAPU SURESH,Yuvajana Sramika Rythu Congress Party,24756,Result Declared
Andhra Pradesh,Kothapeta,47,BANDARU SATYANANDA RAO,Telugu Desam,CHIRLA JAGGIREDDY,Yuvajana Sramika Rythu Congress Party,56479,Result Declared
Andhra Pradesh,Kovur,116,PRASHANTHI REDDY VEMIREDDY,Telugu Desam,NALLAPAREDDY PRASANNA KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,54583,Result Declared
Andhra Pradesh,Kovvur,54,MUPPIDI VENKATESWARA RAO,Telugu Desam,TALARI VENKATA RAO,Yuvajana Sramika Rythu Congress Party,33946,Result Declared
Andhra Pradesh,Kuppam,175,CHANDRABABU NAIDU NARA,Telugu Desam,K.R.J. BHARATH,Yuvajana Sramika Rythu Congress Party,48006,Result Declared
Andhra Pradesh,Kurnool,137,T.G.BHARATH,Telugu Desam,"A. MD. IMTIAZ I.A.S., (RETD)",Yuvajana Sramika Rythu Congress Party,18876,Result Declared
Andhra Pradesh,Kurupam,11,JAGADEESWARI THOYAKA,Telugu Desam,PAMULA PUSHPA SREEVANI,Yuvajana Sramika Rythu Congress Party,23500,Result Declared
Andhra Pradesh,Macherla,101,JULAKANTI BRAHMANANDA REDDY,Telugu Desam,RAMAKRISHNAREDDY. PINNELLI,Yuvajana Sramika Rythu Congress Party,33318,Result Declared
Andhra Pradesh,Machilipatnam,75,KOLLU. RAVINDRA,Telugu Desam,PERNI KRISHNAMURTHY (KITTU),Yuvajana Sramika Rythu Congress Party,50242,Result Declared
Andhra Pradesh,Madakasira (SC),156,M.S.RAJU,Telugu Desam,IRALAKKAPPA.S.L,Yuvajana Sramika Rythu Congress Party,351,Result Declared
Andhra Pradesh,Madanapalle,164,M.SHAJAHAN BASHA,Telugu Desam,S.NISAR AHAMAD,Yuvajana Sramika Rythu Congress Party,5509,Result Declared
Andhra Pradesh,Madugula,27,BANDARU SATYANARAYANA MURTHY,Telugu Desam,ANURADHA ERLI,Yuvajana Sramika Rythu Congress Party,28026,Result Declared
Andhra Pradesh,Mandapeta,48,JOGESWARA RAO.V,Telugu Desam,THOTA TRIMURTHULU,Yuvajana Sramika Rythu Congress Party,44435,Result Declared
Andhra Pradesh,Mangalagiri,87,NARA LOKESH,Telugu Desam,MURUGUDU LAVANYA,Yuvajana Sramika Rythu Congress Party,91413,Result Declared
Andhra Pradesh,Mantralayam,145,Y. BALANAGI REDDY,Yuvajana Sramika Rythu Congress Party,N. RAGHAVENDRA REDDY,Telugu Desam,12805,Result Declared
Andhra Pradesh,Markapuram,111,KANDULA NARAYANA REDDY,Telugu Desam,ANNA RAMBABU,Yuvajana Sramika Rythu Congress Party,13979,Result Declared
Andhra Pradesh,Mummidivaram,43,DATLA SUBBARAJU (BUCHIBABU),Telugu Desam,PONNADA VENKATA SATISH KUMAR,Yuvajana Sramika Rythu Congress Party,38736,Result Declared
Andhra Pradesh,Mydukur,133,SUDHAKAR PUTTA,Telugu Desam,RAGHURAMI REDDY SETTIPALLY,Yuvajana Sramika Rythu Congress Party,20950,Result Declared
Andhra Pradesh,Mylavaram,82,VASANTHA VENKATA KRISHNA PRASAD,Telugu Desam,TIRAPATHIRAO SARNALA,Yuvajana Sramika Rythu Congress Party,42829,Result Declared
Andhra Pradesh,Nagari,170,GALI BHANU PRAKASH,Telugu Desam,R.K. ROJA,Yuvajana Sramika Rythu Congress Party,45004,Result Declared
Andhra Pradesh,Nandigama (SC),83,TANGIRALA SOWMYA,Telugu Desam,MONDITOKA JAGAN MOHAN RAO,Yuvajana Sramika Rythu Congress Party,27395,Result Declared
Andhra Pradesh,Nandikotkur (SC),136,G JAYASURYA,Telugu Desam,DARA SUDHEER,Yuvajana Sramika Rythu Congress Party,9792,Result Declared
Andhra Pradesh,Nandyal,139,NASYAM MOHAMMED FAROOK,Telugu Desam,SILPA RAVI CHANDRA KISHORE REDDY,Yuvajana Sramika Rythu Congress Party,12333,Result Declared
Andhra Pradesh,Narasannapeta,8,BAGGU RAMANAMURTHY,Telugu Desam,KRISHNADAS DHARMANA,Yuvajana Sramika Rythu Congress Party,29371,Result Declared
Andhra Pradesh,Narasapuram,58,BOMMIDI NARAYANA NAYAKAR,Janasena Party,NAGARAJA VARA PRASADA RAJU MUDUNURI,Yuvajana Sramika Rythu Congress Party,49738,Result Declared
Andhra Pradesh,Narasaraopet,97,ARAVINDA BABU CHADALAVADA,Telugu Desam,GOPIREDDY SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,19705,Result Declared
Andhra Pradesh,Narsipatnam,34,AYYANNAPATRUDU CHINTAKAYALA,Telugu Desam,UMA SANKARA GANESH PETLA,Yuvajana Sramika Rythu Congress Party,24676,Result Declared
Andhra Pradesh,Nellimarla,17,LOKAM NAGA MADHAVI,Janasena Party,APPALANAIDU BADDUKONDA,Yuvajana Sramika Rythu Congress Party,39829,Result Declared
Andhra Pradesh,Nellore City,117,NARAYANA PONGURU,Telugu Desam,KHALEEL AHAMAD MD,Yuvajana Sramika Rythu Congress Party,72489,Result Declared
Andhra Pradesh,Nellore Rural,118,KOTAMREDDY SRIDHAR REDDY,Telugu Desam,ADALA PRABHAKARA REDDY,Yuvajana Sramika Rythu Congress Party,34480,Result Declared
Andhra Pradesh,Nidadavole,55,KANDULA DURGESH,Janasena Party,G.SRINIVAS NAIDU,Yuvajana Sramika Rythu Congress Party,33304,Result Declared
Andhra Pradesh,Nuzvid,70,KOLUSU PARTHA SARATHY,Telugu Desam,MEKA VENKATA PRATAP APPARAO,Yuvajana Sramika Rythu Congress Party,12378,Result Declared
Andhra Pradesh,Ongole,108,DAMACHARLA JANARDHANA RAO,Telugu Desam,BALINENI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,34026,Result Declared
Andhra Pradesh,Paderu,29,MATSYARASA VISWESWARA RAJU,Yuvajana Sramika Rythu Congress Party,ESWARI GIDDI,Telugu Desam,19338,Result Declared
